"","date","net_kWh","produced_kWh","consumed_kWh"
"462",2023-07-20,-37.73,78.509,40.779
"463",2023-07-21,-22.75,72.753,50.003
"464",2023-07-22,-26.3,95.784,69.484
"465",2023-07-23,-38.6,88.633,50.033
"466",2023-07-24,-27.12,65.27,38.15
"467",2023-07-25,7.17,56.255,63.425
"468",2023-07-26,-58.22,86.625,28.405
"469",2023-07-27,1.59999999999999,68.622,70.222
"470",2023-07-28,-44.27,84.588,40.318
"471",2023-07-29,-19.43,66.891,47.461
"472",2023-07-30,-63.11,90.36,27.25
"473",2023-07-31,-22.63,80.646,58.016
"474",2023-08-01,-30.41,86.769,56.3590000000001
"475",2023-08-02,-36.3,83.235,46.935
"476",2023-08-03,-25.37,59.571,34.201
"477",2023-08-04,-15.94,37.626,21.686
"478",2023-08-05,4.5,65.828,70.328
"479",2023-08-06,-43.8,71.645,27.845
"480",2023-08-07,-4.54,29.268,24.728
"481",2023-08-08,-26.28,54.968,28.688
"482",2023-08-09,0.529999999999987,79.8,80.33
"483",2023-08-10,-3.59,21.971,18.381
"484",2023-08-11,-65.02,85.225,20.205
"485",2023-08-12,-50.18,70.684,20.504
"486",2023-08-13,-60.24,82.907,22.667
"487",2023-08-14,-23.6,44.589,20.989
"488",2023-08-15,-32.22,51.595,19.375
"489",2023-08-16,-43.83,65.736,21.906
"490",2023-08-17,-40.33,62.423,22.093
"491",2023-08-18,-58.34,77.218,18.878
"492",2023-08-19,-71.29,86.916,15.626
"493",2023-08-20,-56.75,79.169,22.419
"494",2023-08-21,-20.06,61.375,41.315
"495",2023-08-22,-59.42,82.992,23.572
"496",2023-08-23,-34.32,56.486,22.166
"497",2023-08-24,14.11,9.917,24.027
"498",2023-08-25,6.8,40.757,47.557
"499",2023-08-26,-18.73,60.766,42.036
"500",2023-08-27,-45.13,77.349,32.219
"501",2023-08-28,-4.19000000000001,34.787,30.597
"502",2023-08-29,26.91,36.57,63.48
"503",2023-08-30,-40.18,70.372,30.192
"504",2023-08-31,-49.44,81.997,32.557
"505",2023-09-01,-62.43,81.133,18.703
"506",2023-09-02,-27,79.048,52.048
"507",2023-09-03,-36.55,73.457,36.907
"508",2023-09-04,11.69,70.302,81.992
"509",2023-09-05,-25.75,65.124,39.374
"510",2023-09-06,-21.28,66.955,45.675
"511",2023-09-07,4.61,37.345,41.955
"512",2023-09-08,-9.02,65.653,56.633
"513",2023-09-09,3.14,53.221,56.361
"514",2023-09-10,-1.08,27.301,26.221
"515",2023-09-11,14.05,47.783,61.833
"516",2023-09-12,-21.06,67.464,46.404
"517",2023-09-13,-29.7,54.765,25.065
"518",2023-09-14,-20.5,75.766,55.266
"519",2023-09-15,-49.56,75.766,26.206
"520",2023-09-16,-57.63,74.763,17.133
"521",2023-09-17,-11.43,30.037,18.607
"522",2023-09-18,5.54,42.058,47.598
"523",2023-09-19,-29.71,69.147,39.437
"524",2023-09-20,-53.39,67.303,13.913
"525",2023-09-21,-56.3,67.89,11.59
